text,label
The government has declared a national emergency.,real
Aliens have landed on Earth!,fake
Local elections saw a record turnout.,real
Scientists discovered a potion for eternal youth!,fake
New study finds that regular exercise improves mental health.,real
Elon Musk announced plans to build a city on Mars by 2025.,fake
The stock market reached an all-time high last week.,real
A man claims to have invented a time machine using household items.,fake
"Global temperatures are rising due to climate change, experts warn.",real
"Vampires have been discovered living among us, researchers say.",fake
Major cities are implementing new measures to reduce air pollution.,real
Miracle cure for all diseases found in a remote jungle!,fake
Local farmers report a significant increase in crop yields this season.,real
Scientists say that drinking water can cure all ailments.,fake
New vaccine shows promise in the fight against a deadly virus.,real
Study reveals that chocolate can help you lose weight.,fake
International leaders meet to discuss climate change solutions.,real
Man claims he can communicate with animals through telepathy.,fake
"New evidence supports the theory of evolution, say scientists.",real
Ghosts have been proven to exist by paranormal researchers.,fake
Local schools are introducing new technology programs for students.,real
UFO sightings reported in several states over the weekend.,fake
Research shows that meditation can reduce stress and anxiety.,real
"Aliens have sent messages to Earth, government sources reveal.",fake
Health officials recommend eating more fruits and vegetables for better health.,real
Scientists have created a machine that can predict the future!,fake
The government has implemented new policies to support small businesses.,real
Dinosaurs are alive and being kept in secret by the government.,fake
New laws introduced to combat climate change and promote sustainability.,real
A woman claims to have discovered the fountain of youth in her backyard.,fake
Experts say regular sleep patterns improve cognitive function.,real
Mermaids have been sighted in the ocean off the coast of California.,fake
National parks report an increase in visitors during the summer months.,real
Conspiracy theories suggest that the moon landing was staged.,fake
Studies show that reading improves empathy and emotional intelligence.,real
An ancient civilization has been discovered under the Arctic ice.,fake
New technological advancements are improving renewable energy efficiency.,real
"Aliens abducted my neighbor's cat, claims local resident.",fake
Local artists are showcasing their work in a new community center.,real
Scientists say that eating ice cream can boost your mood.,fake
New research indicates that pets can lower stress levels.,real
An ancient prophecy predicts the end of the world in 2025.,fake
Breakthrough in cancer research leads to new treatment options.,real
Bigfoot sightings reported in the national forest.,fake
Government launches initiative to improve public transportation.,real
A cure for aging has been discovered in a lab in Switzerland!,fake
New study finds that gratitude can enhance overall well-being.,real
Scientists are investigating claims of time travel by a physicist.,fake
Local schools celebrate diversity with a cultural festival.,real
Experts warn about the dangers of using cell phones while driving.,real
Atlantis has been discovered near the Bermuda Triangle!,fake
New urban gardening initiative aims to promote local food production.,real
An inventor claims to have created a perpetual motion machine.,fake
National wildlife reserves are expanding to protect endangered species.,real
Reports of a zombie apocalypse have spread on social media.,fake
Recent data shows a rise in mental health awareness in communities.,real
"Elvis Presley is alive and living in a secret location, claims a tabloid.",fake
Health experts recommend regular check-ups for early disease detection.,real
"Aliens are harvesting humans for experiments, a whistleblower alleges.",fake
Local businesses are coming together to support the community during the pandemic.,real
Experts say that the Earth will be hit by a giant asteroid next year!,fake
New educational programs are helping to close the literacy gap.,real
Reports of mermaid sightings have increased along the coast.,fake
Research shows that laughter can improve heart health.,real
The Loch Ness Monster has been spotted again!,fake
Government announces new policies to combat homelessness.,real
A local man claims to have invented a teleportation device.,fake
Experts discuss the importance of mental health days in schools.,real
"Aliens are planning to invade Earth, warns an astronomer.",fake
New apps are helping people manage their finances more effectively.,real
Scientists have found a way to reverse climate change!,fake
Local charities are raising funds for community development projects.,real
Conspiracy theorists claim that the COVID-19 vaccine contains microchips.,fake
Research indicates that spending time in nature can boost creativity.,real
Reports of a secret government lab conducting experiments on citizens.,fake
Major breakthroughs in renewable energy technologies are being made.,real
A cult claims to have found the secret to eternal life!,fake
New programs aim to increase awareness of mental health issues.,real
"Bigfoot was spotted at a local camping site, claims a hiker.",fake
New studies show that learning a second language can enhance brain function.,real
Experts predict a global economic crisis is imminent.,fake
Community gardens are sprouting up in urban areas to promote sustainability.,real
"Mermaids have been spotted in local lakes, claims a fisherman.",fake
Government initiatives are promoting green energy sources.,real
"Scientists reveal that the Earth is flat, according to new research.",fake
Local schools are adopting new technology to enhance learning experiences.,real
A woman claims to have found a way to talk to the dead.,fake
New policies are encouraging more families to adopt pets from shelters.,real
Experts warn that the world is running out of chocolate!,fake
New research shows the benefits of meditation on mental health.,real
The government is planning to build a wall around the entire country!,fake
Studies indicate that volunteering can lead to improved well-being.,real
"UFO sightings increase during summer months, says a report.",fake
Local sports teams are improving their community engagement efforts.,real
Conspiracy theorists suggest that famous figures are actually clones.,fake
New evidence supports the benefits of organic farming.,real
"Aliens are reportedly living among us, according to conspiracy theorists.",fake
